,Name,Address,Geocodes
217,First Student Inc,"7225 Winnetka Ave N, Minneapolis, MN 55428, USA","{'lat': 45.085989, 'lng': -93.3821834}"
218,Clarence Central Sch Bus Grge,"9825 County Farm Rd # B, Riverside, CA 92503, USA","{'lat': 33.9205873, 'lng': -117.4558653}"
219,Durham School Svc,"310 Smith Blvd, San Angelo, TX 76905, USA","{'lat': 31.47148529999999, 'lng': -100.3973919}"
220,Durham School Svc,"200 SE 21st St, Topeka, KS 66612, USA","{'lat': 39.0301829, 'lng': -95.67792659999999}"
221,Durham School Svc,"205 E 8th St SW, Rome, GA 30161, USA","{'lat': 34.243366, 'lng': -85.1640373}"
222,Star & Strand Transportation,"415 Fulton St, Geneva, IL 60134, USA","{'lat': 41.8842997, 'lng': -88.3109655}"
223,Student Transportation Inc,"3349 NJ-138, Wall Township, NJ 07719, USA","{'lat': 40.1695759, 'lng': -74.0891247}"
224,Student Transportation-america,"431 Corkery Ln, Williamstown, NJ 08094, USA","{'lat': 39.6696101, 'lng': -74.9962608}"
225,Student Transportation-america,"200 Kendall St, Springfield, MA 01104, USA","{'lat': 42.1215223, 'lng': -72.5777707}"
226,Transportation Office,"110 Campus Ln, Greenwood, IN 46143, USA","{'lat': 39.611597, 'lng': -86.0548717}"
227,Travelers Transit,"664 Front St, Lititz, PA 17543, USA","{'lat': 40.1557639, 'lng': -76.28857020000001}"
228,W L Roenigk Inc,"10 Thomas Cir NW, Washington, D.C., DC 20005, USA","{'lat': 38.9062046, 'lng': -77.03089609999999}"
229,We Transport Inc,"75 Commercial St, Brockton, MA 02302, USA","{'lat': 42.08347380000001, 'lng': -71.0160217}"
230,La Grange School Bus Garage,"144 Todd Hill Rd, Lagrangeville, NY 12540, USA","{'lat': 41.6551555, 'lng': -73.777385}"
231,Liverpool Transportation Ctr,"4101 Long Branch Rd, Liverpool, NY 13090, USA","{'lat': 43.1284083, 'lng': -76.2310545}"
232,Logan Bus Co Inc,"1310 Oak Point Ave, The Bronx, NY 10474, USA","{'lat': 40.8101177, 'lng': -73.8849196}"
233,Lower Pioneer Vly Educational,"12 Carmelinas Cir, Ludlow, MA 01056, USA","{'lat': 42.1726063, 'lng': -72.4455553}"
234,Lucini Bus Lines,"86 Wyckoff Ave, Brooklyn, NY 11237, USA","{'lat': 40.7044317, 'lng': -73.91969689999999}"
