,Name,Address,Geocodes
107,R W M Fiber Optics Inc,"16627 S Avalon Blvd Ste A, Carson, CA 90746, USA","{'lat': 33.8803604, 'lng': -118.2657271}"
108,Laidlaw Transit Inc,"8039 Canoga Ave, Canoga Park, CA 91304, USA","{'lat': 34.2167297, 'lng': -118.5983649}"
109,Ed Laidlaw Services,"2805 S East Ave, Fresno, CA 93725, USA","{'lat': 36.6992448, 'lng': -119.7721782}"
110,Durham School Services LP,"72 Rickenbacker Cir, Livermore, CA 94551, USA","{'lat': 37.6914366, 'lng': -121.80322}"
111,Laidlaw Transit Regional Off,"201 N Civic Dr STE 150, Walnut Creek, CA 94596, USA","{'lat': 37.9098589, 'lng': -122.0592791}"
112,Durham School Services L P,"27577 Industrial Blvd A, Hayward, CA 94545, USA","{'lat': 37.6249968, 'lng': -122.104958}"
113,SOS,"2181 Bunker Hill Dr, San Mateo, CA 94402, USA","{'lat': 37.5239831, 'lng': -122.3434974}"
114,First Student Inc,"4902 Market St, Wilmington, NC 28403, USA","{'lat': 34.2429878, 'lng': -77.8849154}"
115,Durham School Services L P,"5127 Heintz St, Baldwin Park, CA 91706, USA","{'lat': 34.1058781, 'lng': -117.9535138}"
116,King Travel,"1201 Funston Ave #207, San Francisco, CA 94122, USA","{'lat': 37.765547, 'lng': -122.4710049}"
117,Durham School Services L P,"2003 Laguna Canyon Rd, Laguna Beach, CA 92651, USA","{'lat': 33.5588358, 'lng': -117.7734361}"
118,Firstgroup America,"14600 Sand Canyon Ave, Irvine, CA 92618, USA","{'lat': 33.6803748, 'lng': -117.7539674}"
119,Advance America,"1061 N State College Blvd, Anaheim, CA 92806, USA","{'lat': 33.8486655, 'lng': -117.889526}"
120,Laidlaw Transit Services Inc,"300 S Buena Vista Ave, Corona, CA 92882, USA","{'lat': 33.8789565, 'lng': -117.5785664}"
121,Durham School Services LP,"514 W Wooley Rd, Oxnard, CA 93030, USA","{'lat': 34.1892936, 'lng': -119.1828989}"
122,Sacred Heart University,"Academic Center, 5151 Park Ave, Fairfield, CT 06825, USA","{'lat': 41.2212822, 'lng': -73.2413349}"
123,Miller Foods Inc,"308 Arch Rd, Avon, CT 06001, USA","{'lat': 41.7997859, 'lng': -72.8608033}"
124,Laidlaw Transit Inc,"315 Old Hartford Rd, Colchester, CT 06415, USA","{'lat': 41.5804736, 'lng': -72.3498432}"
125,Double A Transportation Company,"647 Cromwell Ave, Rocky Hill, CT 06067, USA","{'lat': 41.65256249999999, 'lng': -72.6828365}"
126,Double A Transportation Company,"36 Belvidere Ave, Washington, NJ 07882, USA","{'lat': 40.75944399999999, 'lng': -74.9800104}"
127,Dattco Travel,"100 Hemingway St, New Haven, CT 06513, USA","{'lat': 41.3144066, 'lng': -72.87596309999999}"
128,Specialty Transportation Inc,"Rajasthan 331026, India","{'lat': 28.4107578, 'lng': 75.2595731}"
129,"FirstGroup America, Inc.","11 Durant Ave #1, Bethel, CT 06801, USA","{'lat': 41.375014, 'lng': -73.416258}"
130,Eagle Transportation,"219 Plain Dealing Rd, Magnolia, DE 19962, USA","{'lat': 39.0819311, 'lng': -75.4809245}"
131,Hillsborough County Dental,"2010 E Hillsborough Ave, Tampa, FL 33610, USA","{'lat': 27.9967036, 'lng': -82.4356657}"
132,Miami Dade Cnty Pub Schl Trnsp,"2711 NW 95th Terrace, Miami, FL 33147, USA","{'lat': 25.8613483, 'lng': -80.2424715}"
133,Magnolia School Exceptional,"1900 Matterhorn Dr, Orlando, FL 32818, USA","{'lat': 28.5677407, 'lng': -81.4874519}"
134,First Class Coach & EQP Inc,"1925 W Princeton St, Orlando, FL 32804, USA","{'lat': 28.5715261, 'lng': -81.4084089}"
135,Reinhardt Holm Elementary Schl,"6101 Lanier Dr, Pensacola, FL 32504, USA","{'lat': 30.4857865, 'lng': -87.2062237}"
136,Santa Rosa Bd Pub Instruction,"6544 Firehouse Rd, Milton, FL 32570, USA","{'lat': 30.6573078, 'lng': -87.0488702}"
137,County of Miami Dade Public School C,"13775 NW 6th St, Miami, FL 33182, USA","{'lat': 25.7730969, 'lng': -80.41861879999999}"
138,First Student Inc,"430 SW Thornhill Dr, Port St. Lucie, FL 34984, USA","{'lat': 27.2793096, 'lng': -80.35904409999999}"
139,Hillsborough County School DST,"3516 McFarland Rd, Carrollwood, FL 33618, USA","{'lat': 28.0525723, 'lng': -82.4994296}"
140,"The School District of Palm Beach County, Florida.","3376 Summit Blvd, West Palm Beach, FL 33406, USA","{'lat': 26.6647698, 'lng': -80.09412560000001}"
141,Carlos & Susana School Bus Svc,"3340 SW 80th Ave, Miami, FL 33155, USA","{'lat': 25.7389512, 'lng': -80.325728}"
142,First Student Inc,"8701 Casa Verde Rd, Orlando, FL 32827, USA","{'lat': 28.4427432, 'lng': -81.3010382}"
143,Transportation Department,"524 Hardee Rd, Coral Gables, FL 33146, USA","{'lat': 25.7122522, 'lng': -80.2645611}"
144,Laidlaw Education Services,"975 Cobb Pl Blvd NW Suite 218, Kennesaw, GA 30144, USA","{'lat': 34.0076471, 'lng': -84.5822426}"
145,Carroll County,"46 Horsley Mill Rd, Carrollton, GA 30117, USA","{'lat': 33.5764562, 'lng': -85.04753430000001}"
146,Fulton County Schools,"97 Heath St, Fairburn, GA 30213, USA","{'lat': 33.568776, 'lng': -84.5669916}"
147,Gomes School Bus Service Ltd,"47-114 Wailehua Rd, Kaneohe, HI 96744, USA","{'lat': 21.4632734, 'lng': -157.8440659}"
148,Oskaloosa High School,"610 G Ave W, Oskaloosa, IA 52577, USA","{'lat': 41.3008227, 'lng': -92.6518897}"
149,Mission Hill Apartments,"1515 Willow Creek Dr, Iowa City, IA 52246, USA","{'lat': 41.6412292, 'lng': -91.5620725}"
150,First Student Inc,"1515 Willow Creek Dr, Iowa City, IA 52246, USA","{'lat': 41.6412292, 'lng': -91.5620725}"
151,Rockwell City Bus Barn,"1000 Tonawanda St, Rockwell City, IA 50579, USA","{'lat': 42.39261430000001, 'lng': -94.6452772}"
152,Brown Bus Co,"2111 E Sherman Ave, Nampa, ID 83686, USA","{'lat': 43.5647041, 'lng': -116.5448647}"
153,Print Shop,"2000 Christina St, Rockford, IL 61104, USA","{'lat': 42.2463461, 'lng': -89.09769209999999}"
154,Sterling Holley Center,"2000 Christina St, Rockford, IL 61104, USA","{'lat': 42.2463461, 'lng': -89.09769209999999}"
155,Laidlaw Transit Inc,"8500 E State St, Rockford, IL 61108, USA","{'lat': 42.2738126, 'lng': -88.9492487}"
156,Laidlaw Transportation Mgt Inc,"55 Shuman Blvd, Naperville, IL 60563, USA","{'lat': 41.8051562, 'lng': -88.1441594}"
157,Intertrade Inc,"2719 W 71st St, Chicago, IL 60629, USA","{'lat': 41.7643701, 'lng': -87.6914128}"
158,Countr,"4845 167th St, Oak Forest, IL 60452, USA","{'lat': 41.5881719, 'lng': -87.73769639999999}"
159,Chicago Bus Sales Inc,"4845 167th St, Oak Forest, IL 60452, USA","{'lat': 41.5881719, 'lng': -87.73769639999999}"
160,First Student Inc,"Pekin St, Singapore","{'lat': 1.2834846, 'lng': 103.848667}"
161,Naperville Community Unit School District 203,"605 W 5th Ave, Columbus, OH 43201, USA","{'lat': 39.98766500000001, 'lng': -83.0207535}"
162,Ryder Student Transportation,"1902 1st Avenue, New York, NY 10029, USA","{'lat': 40.7846272, 'lng': -73.9431546}"
163,Laidlaw Transit,"15763 Aptakisic Rd, Prairie View, IL 60069, USA","{'lat': 42.1779918, 'lng': -87.94240359999999}"
164,Southern Wells Branch Library,"9120 S & S 300 W, Sandy, UT 84070, USA","{'lat': 40.5856427, 'lng': -111.9009366}"
165,K & B Enterprises Inc,"22168 State Line Rd, Lawrenceburg, IN 47025, USA","{'lat': 39.19071700000001, 'lng': -84.83797799999999}"
166,County of Monroe Community School SE,"560 E Miller Dr, Bloomington, IN 47401, USA","{'lat': 39.1465689, 'lng': -86.5276392}"
167,Norma Cooper,"17811 Michigan Rd, Marysville, IN 47141, USA","{'lat': 38.554013, 'lng': -85.6257229}"
168,Laidlaw Transit Inc,"2323 W 47th Ave, Denver, CO 80211, USA","{'lat': 39.7815606, 'lng': -105.0149691}"
169,First Student Inc,"1777 S Belmont Ave, Indianapolis, IN 46221, USA","{'lat': 39.7424379, 'lng': -86.1959432}"
170,Monroe County School Trnsp,"560 E Miller Dr, Bloomington, IN 47401, USA","{'lat': 39.1465689, 'lng': -86.5276392}"
171,Grand Prairie Transit,"18962 Airport Rd, Romeoville, IL 60446, USA","{'lat': 41.6126823, 'lng': -88.07980889999999}"
172,Merrillville Community Schools,"6601 S Delaware St, Littleton, CO 80120, USA","{'lat': 39.5969477, 'lng': -104.9937539}"
173,Meridian Transportation,"50 N Ward Ln, Meridian, ID 83642, USA","{'lat': 43.6079316, 'lng': -116.4190538}"
174,RichLee Vans,"9901 Sayre Ave, Chicago Ridge, IL 60415, USA","{'lat': 41.7118462, 'lng': -87.79324059999999}"
175,School Bus,"19301 Barton Rd, Colton, CA 92324, USA","{'lat': 34.0338583, 'lng': -117.3318411}"
176,Richlee vans,"9901 Sayre Ave, Chicago Ridge, IL 60415, USA","{'lat': 41.7118462, 'lng': -87.79324059999999}"
177,school bus,"19301 Barton Rd, Colton, CA 92324, USA","{'lat': 34.0338583, 'lng': -117.3318411}"
178,West County Transportation,"367 W Robles Ave, Santa Rosa, CA 95407, USA","{'lat': 38.3950396, 'lng': -122.7261224}"
179,Antelope Valley Sch Trnsprtn,"670 W Ave L8, Lancaster, CA 93534, USA","{'lat': 34.652243, 'lng': -118.1426689}"
180,Mike Shojaat,"6180 Colt Dr, West Des Moines, IA 50266, USA","{'lat': 41.58191009999999, 'lng': -93.7922308}"
181,Durham School Svc,"1431 Opus Pl STE 200, Downers Grove, IL 60515, USA","{'lat': 41.8281613, 'lng': -88.0230388}"
182,Student Transportation-America,"8355 Monroe Ave, Stanton, CA 90680, USA","{'lat': 33.8057487, 'lng': -117.9865507}"
183,School Bus,"220 E Hyde Park Blvd #1, Inglewood, CA 90302, USA","{'lat': 33.9721959, 'lng': -118.3548924}"
184,Louisiana Department Of Veterans Affairs,"1885 Wooddale Blvd, Baton Rouge, LA 70806, USA","{'lat': 30.4649622, 'lng': -91.1150061}"
185,First Tennessee Bank National Association,"300 Court Ave, Memphis, TN 38103, USA","{'lat': 35.1445313, 'lng': -90.0444311}"
186,Temple University,"1900 N 12th St, Murray, KY 42071, USA","{'lat': 36.6364888, 'lng': -88.3091238}"
