,Name,Address,Geocodes
83,Orangeburg County Admin,"1437 Amelia St, Orangeburg, SC 29115, USA","{'lat': 33.4929804, 'lng': -80.8629026}"
84,Orangeburg County Library,"190 Gibson St, Berea, OH 44017, USA","{'lat': 41.3673273, 'lng': -81.8629651}"
85,Orangeburg Consolidated School,"1031 State Rd S-38-211, Orangeburg, SC 29115, USA","{'lat': 33.4888851, 'lng': -80.86357269999999}"
86,Orangeburg Cnsld Schl Dst 5,"350 Murray Rd, Preston VIC 3072, Australia","{'lat': -37.7373639, 'lng': 145.0004713}"
87,Orangeburg Consolidated School District 4,"131 Firefighter Ln, Orangeburg, SC 29115, USA","{'lat': 33.4572985, 'lng': -80.7220048}"
88,Orangeburg (sc) Public Utilities,"1016 Russell St, Nashville, TN 37206, USA","{'lat': 36.175654, 'lng': -86.7510999}"
89,Orangeburg County Disability & Special Needs Board,"Magnolia St, California, USA","{'lat': 33.7211084, 'lng': -117.9718798}"
90,Orangeburg Department Of Public Utilities,"1016 Russell St, Nashville, TN 37206, USA","{'lat': 36.175654, 'lng': -86.7510999}"
91,Orangeburg County Litter Cntrl,"1437 Amelia St, Orangeburg, SC 29115, USA","{'lat': 33.4929804, 'lng': -80.8629026}"
92,Orangeburg County Tax Assessor,"1437 Amelia St, Orangeburg, SC 29115, USA","{'lat': 33.4929804, 'lng': -80.8629026}"
93,County Of Orangeburg,"190 Gibson St, Berea, OH 44017, USA","{'lat': 41.3673273, 'lng': -81.8629651}"
94,Orangeburg County Grants Adm.,"1437 Amelia St, Orangeburg, SC 29115, USA","{'lat': 33.4929804, 'lng': -80.8629026}"
95,Orangeburg County Library,"225 W Broughton St, Savannah, GA 31401, USA","{'lat': 32.0796693, 'lng': -81.09521459999999}"
96,Orangebug Area Resource Center,"Magnolia St, California, USA","{'lat': 33.7211084, 'lng': -117.9718798}"
97,Orangeburg Calhoun Free Med,"141 Centre St, Waldwick, NJ 07463, USA","{'lat': 41.0174571, 'lng': -74.1138687}"
98,Orangeburg Finance Dept,"979 State Rd S-38-211, Orangeburg, SC 29115, USA","{'lat': 33.4884986, 'lng': -80.8633349}"
99,Orangeburg Cnsld Schl Dst 5,"790 Whittaker Pkwy, Orangeburg, SC 29115, USA","{'lat': 33.4932305, 'lng': -80.8358326}"
100,Orangeburg Municipal Court,"1320 State Rd S-38-211, Orangeburg, SC 29115, USA","{'lat': 33.4923894, 'lng': -80.8660587}"
101,Orangeburg Consolidated School District 4,"136 Woodolive St, Orangeburg, SC 29115, USA","{'lat': 33.466648, 'lng': -80.95656199999999}"
102,Department Of Public Utilities,"PO Box 1057, Evansville, WY 82636, USA","{'lat': 42.8599653, 'lng': -106.2683566}"
103,City Of Orangeburg,"550 Seaboard St, Myrtle Beach, SC 29577, USA","{'lat': 33.7063527, 'lng': -78.913}"
104,Orangeburg Department Of Public Utilities,"PO Box 1057, Evansville, WY 82636, USA","{'lat': 42.8599653, 'lng': -106.2683566}"
105,Orangeburg County Personnel,"1437 Amelia St, Orangeburg, SC 29115, USA","{'lat': 33.4929804, 'lng': -80.8629026}"
106,Orangeburg County Offices,"1437 Amelia St, Orangeburg, SC 29115, USA","{'lat': 33.4929804, 'lng': -80.8629026}"
107,Department Of Public Utilities,"2651 North Rd, Orangeburg, SC 29118, USA","{'lat': 33.5233921, 'lng': -80.8876682}"
108,City Of Orangeburg,"367 S Green St, Tuckerton, NJ 08087, USA","{'lat': 39.5970504, 'lng': -74.3392039}"
109,"City Of Orangeburg, Sc","PO Box 1057, Evansville, WY 82636, USA","{'lat': 42.8599653, 'lng': -106.2683566}"
110,Orangeburg Fire Inspections,"1320 State Rd S-38-211, Orangeburg, SC 29115, USA","{'lat': 33.4923894, 'lng': -80.8660587}"
111,County Of Orangeburg,"3791 Belleville Rd, Canton, MI 48188, USA","{'lat': 42.2717091, 'lng': -83.4873121}"
112,City Of Orangeburg,"266 Whitetail Ln, Orangeburg, SC 29115, USA","{'lat': 33.4703749, 'lng': -80.7172956}"
113,Orangeburg County Public Works,"1606 Ellis Ave, Laurel Springs, NJ 08021, USA","{'lat': 39.820814, 'lng': -75.04843699999999}"
114,Orangeburg County Fire Crdntr,"131 Firefighter Ln, Orangeburg, SC 29115, USA","{'lat': 33.4572985, 'lng': -80.7220048}"
115,Newberry School Bus Mntnc Shop,"1150 Airport Rd, Destin, FL 32541, USA","{'lat': 30.390545, 'lng': -86.46568099999999}"
116,South Carolina Department Of Disabilities And Spec,"714 E National Cemetery Rd, Florence, SC 29506, USA","{'lat': 34.1834392, 'lng': -79.7547712}"
117,South Carolina Hispanic,"PO Box 1057, Evansville, WY 82636, USA","{'lat': 42.8599653, 'lng': -106.2683566}"
118,Brunson School Bus Maintenance,"190 State Rd S-25-512, Brunson, SC 29911, USA","{'lat': 32.9270095, 'lng': -81.1793452}"
119,Durham School Svc,"2501 Dodds Ave, Chattanooga, TN 37407, USA","{'lat': 35.0110786, 'lng': -85.2766932}"
120,Parker Transport Inc,"1350 Clinch Ave, Clinton, TN 37716, USA","{'lat': 36.0664299, 'lng': -84.134129}"
121,Laidlaw Transit Inc,"1689 Getwell Rd, Memphis, TN 38111, USA","{'lat': 35.085699, 'lng': -89.9318495}"
122,Plant Pamela School Buses,"1535 Sorghum Rd, Holladay, TN 38341, USA","{'lat': 35.890267, 'lng': -88.1158914}"
123,Gibson County School District,"84 TN-188, Trenton, TN 38382, USA","{'lat': 35.9840879, 'lng': -89.1240701}"
124,All County Bus LLC,"379 White Rd, Sparta, TN 38583, USA","{'lat': 35.9237045, 'lng': -85.50129079999999}"
125,First Student Inc,"16900 Pheasant Dr, Brookfield, WI 53005, USA","{'lat': 43.0677973, 'lng': -88.1228252}"
126,Otte Bus Service Inc,"420 E Union St, Lone Rock, WI 53556, USA","{'lat': 43.1842066, 'lng': -90.1939708}"
127,Johnson School Bus Service,"501 Gray St, Houston, TX 77002, USA","{'lat': 29.7513247, 'lng': -95.3757364}"
128,Kiel Transportation Co Inc,"929 Eighth St, New Orleans, LA 70115, USA","{'lat': 29.923557, 'lng': -90.08449139999999}"
