,name,address,geocodes
71,Illinois School Bus Co Inc,"4845 167th St Fl 300, Oak Forest, IL 60452, USA","{'lat': 41.5881719, 'lng': -87.73769639999999}"
72,COOK-ILLINOIS CORP,"4845 167th St #300, Oak Forest, IL 60452, USA","{'lat': 41.5881719, 'lng': -87.73769639999999}"
73,Miami-dade County Pubc Sch,"15501 SW 117th Ave, Miami, FL 33177, USA","{'lat': 25.6243082, 'lng': -80.3815257}"
74,North Scott Cmnty School Bus,"151 E Iowa St, Evansville, IN 47711, USA","{'lat': 37.9826738, 'lng': -87.5612946}"
75,Pea Ridge School Bus Garage,"1442 N Davis St, Pea Ridge, AR 72751, USA","{'lat': 36.4546545, 'lng': -94.11396119999999}"
76,Plano Bus Garage,"810 S Hale St, Plano, IL 60545, USA","{'lat': 41.65564680000001, 'lng': -88.5324685}"
77,First Student Inc,"1030 Terrace St, Savannah, GA 31415, USA","{'lat': 32.0604673, 'lng': -81.1136386}"
78,First Transit Inc,"5 School Rd, Staten Island, NY 10305, USA","{'lat': 40.607068, 'lng': -74.061773}"
79,Durham School Svc,"535 Oakland Ave, Oakland, CA 94611, USA","{'lat': 37.8198801, 'lng': -122.2527599}"
80,Schools Transportation Dept,"113 S Rapp Ave, Columbia, IL 62236, USA","{'lat': 38.4416876, 'lng': -90.2008036}"
81,Student Transportation-america,"5 Shelter Rock Rd # 1, Danbury, CT 06810, USA","{'lat': 41.390486, 'lng': -73.432085}"
82,Western Placer Unified Bus Grg,"2701 Nicolaus Rd, Lincoln, CA 95648, USA","{'lat': 38.8968001, 'lng': -121.3290988}"
83,First Student Inc,"7th and Oak St, P.O. Box 165, Parsons, KS 67357, USA","{'lat': 37.208559, 'lng': -95.402913}"
84,First Student Educational Svc,"2702 W Encanto Blvd, Phoenix, AZ 85009, USA","{'lat': 33.4740497, 'lng': -112.1175922}"
85,MICHAEL'S TRANSPORTATION SVC,"2029 Bennington Dr, Vallejo, CA 94591, USA","{'lat': 38.1529125, 'lng': -122.1771603}"
86,STUDENT TRANSPORTATION-AMERICA,"80 Tower Ave, Groton, CT 06340, USA","{'lat': 41.33612309999999, 'lng': -72.0481561}"
87,ILLINOIS CENTRAL SCHOOL BUS,"1713 N Aurora St, Pontiac, IL 61764, USA","{'lat': 40.8953169, 'lng': -88.6247759}"
88,Woodland Transportation Office,"1105 N Hunt Club Dr, Hernando, FL 34442, USA","{'lat': 28.878472, 'lng': -82.4540983}"
89,East Chicago School Bus Trnspr,"5400 Cline Ave, East Chicago, IN 46312, USA","{'lat': 41.6142565, 'lng': -87.43360919999999}"
90,First Transit Inc,"3310 101st St, Flushing, NY 11368, USA","{'lat': 40.75711039999999, 'lng': -73.86759959999999}"
91,Durham School Svc,"343 S Division St #8, Spokane, WA 99202, USA","{'lat': 47.6533547, 'lng': -117.4112601}"
92,Durham School Svc,"330 N 29th St, Louisville, KY 40212, USA","{'lat': 38.2655423, 'lng': -85.7979448}"
93,Durham School Svc,"11600 Firestone Blvd, Norwalk, CA 90650, USA","{'lat': 33.9135375, 'lng': -118.0850167}"
