,Name,Address,Geocodes
47,Chestnut Ridge Transportation Inc,"230 Red Schoolhouse Rd, Spring Valley, NY 10977, USA","{'lat': 41.068456, 'lng': -74.051936}"
48,F & S Transportation Inc,"37 S Main St, Watkinsville, GA 30677, USA","{'lat': 33.8567577, 'lng': -83.4075002}"
49,APS Transportation Department,"5200 Cutler Ave NE, Albuquerque, NM 87110, USA","{'lat': 35.1046816, 'lng': -106.5857774}"
50,"Benjamin Bus, Inc.","32611 Northfield Blvd, Northfield, MN 55057, USA","{'lat': 44.47702109999999, 'lng': -93.1507914}"
51,Hays Unified School District 489,"508 Main St, Evansville, IN 47708, USA","{'lat': 37.9724589, 'lng': -87.5696524}"
52,D H T Acquisition LLC,"5150 Rosa Parks Blvd, Detroit, MI 48208, USA","{'lat': 42.3525898, 'lng': -83.0830696}"
53,School Tyme Transportation Inc.,"21 School Ave, Clawson, MI 48017, USA","{'lat': 42.545583, 'lng': -83.1473429}"
54,"Advanced Math and Science Academy Charter School, Inc.","201 Forest St, Santa Rosa Beach, FL 32459, USA","{'lat': 30.3198999, 'lng': -86.13092259999999}"
55,"Dufour Escorted Tours, Inc","PO Box 549, Abington, PA 19001, USA","{'lat': 40.1313956, 'lng': -75.13705139999999}"
56,"First Student, Inc.","PO Box 1105, Henderson, TX 75653, USA","{'lat': 32.15, 'lng': -94.8}"
57,"First Student, Inc.","227 N Liberty St, Baltimore, MD 21201, USA","{'lat': 39.292566, 'lng': -76.6164488}"
58,"First Student, Inc.","1633 W Peace St, Canton, MS 39046, USA","{'lat': 32.6004417, 'lng': -90.0758355}"
59,"First Student, Inc.","700 S Maumee St #2, Tecumseh, MI 49286, USA","{'lat': 41.99454970000001, 'lng': -83.9390713}"
60,"First Student, Inc.","3511 Clark Ln, Columbia, MO 65202, USA","{'lat': 38.9653666, 'lng': -92.2840083}"
61,"First Student, Inc.","301 Cayuga Rd Suite 200, Cheektowaga, NY 14225, USA","{'lat': 42.93694319999999, 'lng': -78.7437645}"
62,"First Student, Inc.","15 York Ave, York, ON M6N 2V1, Canada","{'lat': 43.6854684, 'lng': -79.4882602}"
63,"First Student, Inc.","959 Cesar E Chavez Ave, Pontiac, MI 48340, USA","{'lat': 42.658382, 'lng': -83.31977499999999}"
64,"First Student, Inc.","1625 SE Hogan Rd Ste C, Gresham, OR 97080, USA","{'lat': 45.4858324, 'lng': -122.4150375}"
65,"First Student, Inc.","1812 S 12th St, Philadelphia, PA 19148, USA","{'lat': 39.9271801, 'lng': -75.16547109999999}"
66,"First Student, Inc.","803 Walden Ave, Buffalo, NY 14211, USA","{'lat': 42.9054145, 'lng': -78.8073366}"
67,"First Student, Inc.","529 Main St, 529 Main St, Boston, MA 02129, USA","{'lat': 42.38419469999999, 'lng': -71.0724886}"
68,"First Student, Inc.","170 S Dean St, Englewood, NJ 07631, USA","{'lat': 40.888268, 'lng': -73.9785493}"
69,"First Student, Inc.","473 NJ-31, Hampton, NJ 08827, USA","{'lat': 40.718167, 'lng': -74.9710608}"
70,"First Student, Inc.","5 Sicomac Rd # 15, North Haledon, NJ 07508, USA","{'lat': 40.9732827, 'lng': -74.1925256}"
71,"Firstgroup America, Inc.","600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
72,"First Student, Inc","225 Malden Turnpike, Saugerties, NY 12477, USA","{'lat': 42.1063209, 'lng': -73.9487946}"
73,"First Student, Inc.","3483 Pleasant Ridge Rd, Wingdale, NY 12594, USA","{'lat': 41.6451895, 'lng': -73.5814892}"
74,"First Student, Inc.","1807 N Fountain Green Rd, Bel Air, MD 21015, USA","{'lat': 39.575987, 'lng': -76.337043}"
75,"First Student, Inc.","307 133rd Ave NW, Arnegard, ND 58835, USA","{'lat': 47.8068684, 'lng': -103.4333835}"
76,"First Student, Inc.","600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
77,Bruce Transportation Group Inc,"32 Eastgate Park Dr, Belmont, NH 03220, USA","{'lat': 43.4766632, 'lng': -71.4622084}"
78,"First Student, Inc.","17 Halcyon Rd, Newton Centre, MA 02459, USA","{'lat': 42.3219643, 'lng': -71.1950956}"
79,Firstgroup PLC,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
80,Firstgroup PLC,"5360 College Blvd, Overland Park, KS 66211, USA","{'lat': 38.9282463, 'lng': -94.6473759}"
81,"Firstgroup America, Inc.","705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
82,"First Student, Inc.","3 Ricom Way, Providence, RI 02909, USA","{'lat': 41.8107751, 'lng': -71.44221569999999}"
83,"First Student, Inc.","142 Oak Hill Way, Brockton, MA 02301, USA","{'lat': 42.0516171, 'lng': -71.0038563}"
84,"First Student, Inc","3742 W 26th St, Chicago, IL 60623, USA","{'lat': 41.8444359, 'lng': -87.7189193}"
85,"First Student, Inc","3435 Trewigtown Rd, Colmar, PA 18915, USA","{'lat': 40.2807761, 'lng': -75.25642859999999}"
86,"First Student, Inc.","3624 Main Rd, Tiverton, RI 02878, USA","{'lat': 41.5788015, 'lng': -71.1904015}"
87,"First Student, Inc.","44 William St, Bobcaygeon, ON K0M 1A0, Canada","{'lat': 44.5367767, 'lng': -78.5420072}"
88,"First Student, Inc","1283 Seven Locks Rd Bldg A, Potomac, MD 20854, USA","{'lat': 39.0656756, 'lng': -77.1593012}"
89,"Veterans Transportation Co, Inc","OH-3, Cleveland, OH, USA","{'lat': 41.4991898, 'lng': -81.694527}"
90,V Rolling Bus Corp,"5088 NJ-42, Blackwood, NJ 08012, USA","{'lat': 39.7652115, 'lng': -75.0483829}"
91,"School Services and Leasing, Inc.","6400 E 35th St, Kansas City, MO 64129, USA","{'lat': 39.06182159999999, 'lng': -94.5091953}"
