NAME,FullAddress,Geocodes,ADDRESS,COUNTY,CITY,STATE,ZIP,WEBSITE
Holy Trinity Elementary...,1909 E Lincoln St MC LEAN Bloomington IL 61701-7131,,1909 E Lincoln St,MC LEAN,Bloomington,IL,61701-7131,HOLYTRINITYCATHOLICSCHOOL.ORG
Community Unit School D...,1125 N Wheaton Ave DU PAGE Wheaton IL 60187-3505,,1125 N Wheaton Ave,DU PAGE,Wheaton,IL,60187-3505,
Fox River Grove School ...,403 Orchard St MC HENRY Fox River Grove IL 60021-1145,,403 Orchard St,MC HENRY,Fox River Grove,IL,60021-1145,DIST3.ORG
Patoka Community Unit S...,224 S Locust St MARION Centralia IL 62801-3509,,224 S Locust St,MARION,Centralia,IL,62801-3509,KSED801.COM
Indian Prairie School D...,2707 Ridge Rd KANE Aurora IL 60504-6033,,2707 Ridge Rd,KANE,Aurora,IL,60504-6033,IPSD.ORG
Lowpoint-washburn CUSD ...,508 E Walnut St WOODFORD Washburn IL 61570-7539,,508 E Walnut St,WOODFORD,Washburn,IL,61570-7539,WASHBURN.K12.IL.US
Board of Education of T...,9811 S Lowe Ave COOK Chicago IL 60628,,9811 S Lowe Ave,COOK,Chicago,IL,60628,CPS.K12.IL.US
Plainfield Community Co...,13909 S Budler Rd WILL Plainfield IL 60544-2460,,13909 S Budler Rd,WILL,Plainfield,IL,60544-2460,LEARNINGCOMMUNITY202.ORG
Board of Education of T...,3010 S Parnell Ave COOK Chicago IL 60616-3199,,3010 S Parnell Ave,COOK,Chicago,IL,60616-3199,HEALY.CPS.K12.IL.US
Walnut Street Developme...,350 Blair Ln WILL Bolingbrook IL 60440-1801,,350 Blair Ln,WILL,Bolingbrook,IL,60440-1801,VVSD.ORG
Vista Health,1324 N Sheridan Rd Null LAKE Waukegan IL 60085-2161,,1324 N Sheridan Rd Null,LAKE,Waukegan,IL,60085-2161,
A C Thompson Elementary...,2912 Brendenwood Rd WINNEBAGO Rockford IL 61107-1907,,2912 Brendenwood Rd,WINNEBAGO,Rockford,IL,61107-1907,RPS205.COM
Butterfield School,2S500 Gray Ave DU PAGE Lombard IL 60148-5194,,2S500 Gray Ave,DU PAGE,Lombard,IL,60148-5194,SD44.ORG
Board of Education of T...,7240 S Wabash Ave COOK Chicago IL 60619-1050,,7240 S Wabash Ave,COOK,Chicago,IL,60619-1050,
Annunciation School,1840 Church Rd KANE Aurora IL 60505-8730,,1840 Church Rd,KANE,Aurora,IL,60505-8730,ANNUNCIATIONBVM.ORG
Berkeley School Distric...,1310 N Wolf Rd COOK Berkeley IL 60163-1220,,1310 N Wolf Rd,COOK,Berkeley,IL,60163-1220,
